,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
SPATC1,2.44E-234,0.660565092,0.586,0.159,6.97E-230,1,SPATC1
CDIPT-AS1,1.49E-230,0.86369639,0.977,0.698,4.26E-226,1,CDIPT-AS1
RGS22,1.55E-230,0.849775443,0.909,0.672,4.43E-226,1,RGS22
RP11-1277A3.1,1.56E-230,0.660179838,0.591,0.164,4.47E-226,1,RP11-1277A3.1
GPI,5.68E-230,0.7870955,0.827,0.392,1.62E-225,1,GPI
SGCA,1.02E-229,0.901349013,0.805,0.439,2.92E-225,1,SGCA
TSSK2,2.92E-229,0.914007381,0.992,0.67,8.36E-225,1,TSSK2
HABP4,1.11E-227,0.796153978,0.876,0.628,3.19E-223,1,HABP4
C9orf173,2.00E-227,0.905841018,0.839,0.432,5.73E-223,1,C9orf173
MAP3K14-AS1,3.07E-225,0.818149154,0.852,0.405,8.80E-221,1,MAP3K14-AS1
TREH,3.11E-225,0.58835122,0.481,0.102,8.89E-221,1,TREH
AZIN1-AS1,2.91E-222,0.760030593,0.927,0.629,8.34E-218,1,AZIN1-AS1
PKM,3.02E-222,0.915524552,0.909,0.617,8.65E-218,1,PKM
RAB11FIP4,4.50E-222,0.854729061,0.827,0.501,1.29E-217,1,RAB11FIP4
TSSK1B,1.26E-219,0.789714026,0.917,0.463,3.59E-215,1,TSSK1B
FUNDC2,3.28E-219,0.869638964,0.834,0.474,9.39E-215,1,FUNDC2
AZIN2,2.54E-217,0.84034301,0.792,0.425,7.26E-213,1,AZIN2
PWRN1,3.11E-217,0.784105342,0.787,0.363,8.90E-213,1,PWRN1
KLK13,4.41E-217,0.578673151,0.503,0.116,1.26E-212,1,KLK13
ACTL9,6.64E-217,0.875897574,0.937,0.567,1.90E-212,1,ACTL9
MGC39584,1.35E-214,0.820250835,0.846,0.448,3.87E-210,1,MGC39584
EIF4E,2.79E-214,0.787101217,0.938,0.78,7.99E-210,1,EIF4E
SLFNL1,1.15E-213,0.831326965,0.749,0.327,3.30E-209,1,SLFNL1
NTRK3-AS1,2.36E-213,0.879954485,0.759,0.376,6.74E-209,1,NTRK3-AS1
RP11-147C23.1,2.96E-212,0.738429771,0.797,0.339,8.47E-208,1,RP11-147C23.1
RP11-162N7.1,5.18E-212,0.697208795,0.609,0.194,1.48E-207,1,RP11-162N7.1
YJEFN3,3.02E-209,0.802936694,0.789,0.43,8.65E-205,1,YJEFN3
ZNF124,8.79E-207,0.817614421,0.795,0.417,2.52E-202,1,ZNF124
TUBA4A,1.47E-204,0.772477251,0.747,0.3,4.21E-200,1,TUBA4A
RP11-126O1.2,3.47E-204,0.870096238,0.816,0.475,9.94E-200,1,RP11-126O1.2
ZDHHC3,5.23E-204,0.623680619,0.949,0.843,1.50E-199,1,ZDHHC3
IQCF2,5.81E-204,1.139593036,0.81,0.465,1.66E-199,1,IQCF2
LINC01227,7.33E-204,0.614968095,0.627,0.194,2.10E-199,1,LINC01227
TEX26,8.93E-204,0.782771915,0.916,0.559,2.56E-199,1,TEX26
RP11-493E12.1,2.16E-201,0.846609368,0.884,0.537,6.17E-197,1,RP11-493E12.1
TNFAIP8L1,5.61E-198,0.740908295,0.849,0.494,1.61E-193,1,TNFAIP8L1
LASP1,3.37E-197,0.720801938,0.634,0.24,9.65E-193,1,LASP1
BRK1,8.25E-196,0.551900053,0.989,0.948,2.36E-191,1,BRK1
HK1,8.16E-195,0.698785672,0.831,0.449,2.34E-190,1,HK1
SBDS,2.10E-193,0.841803791,0.891,0.784,6.01E-189,1,SBDS
HBZ,2.36E-193,0.603364743,0.514,0.14,6.75E-189,1,HBZ
RNF133,1.78E-192,0.682031424,0.821,0.383,5.10E-188,1,RNF133
DNAJC18,2.54E-192,0.712926815,0.921,0.622,7.28E-188,1,DNAJC18
TSSK3,1.64E-191,0.822867736,0.812,0.494,4.69E-187,1,TSSK3
TSPAN6,5.37E-191,0.855539835,0.819,0.513,1.54E-186,1,TSPAN6
STARD10,1.69E-190,0.678827511,0.938,0.781,4.82E-186,1,STARD10
10-Mar,1.73E-189,0.640695884,0.945,0.797,4.96E-185,1,10-Mar
FRAT1,2.95E-188,0.792017899,0.762,0.392,8.44E-184,1,FRAT1
ACE,6.44E-188,0.731967165,0.888,0.531,1.84E-183,1,ACE
SLC39A13,7.88E-188,0.776966607,0.807,0.461,2.26E-183,1,SLC39A13
ZMIZ1,1.30E-187,0.594209782,0.515,0.144,3.71E-183,1,ZMIZ1
HMGB4,7.29E-187,0.884848396,0.991,0.95,2.09E-182,1,HMGB4
WBP2NL,1.19E-186,0.769054669,0.812,0.545,3.41E-182,1,WBP2NL
SPATA20,2.13E-186,0.716295076,0.902,0.574,6.10E-182,1,SPATA20
FAM229B,2.22E-186,0.561625556,0.999,0.945,6.37E-182,1,FAM229B
CYP17A1-AS1,3.09E-186,0.662924936,0.632,0.244,8.84E-182,1,CYP17A1-AS1
YWHAZ,3.35E-186,0.638548526,0.967,0.814,9.59E-182,1,YWHAZ
