,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
ZDHHC4,1.00E-280,0.907688572,0.773,0.166,2.87E-276,7,ZDHHC4
BCAP316,2.57E-280,1.378788004,0.947,0.293,7.36E-276,7,BCAP31
PAGE4,3.09E-278,0.598250389,0.497,0.053,8.85E-274,7,PAGE4
PRSS215,9.11E-278,1.576352629,0.992,0.638,2.61E-273,7,PRSS21
CTCFL,7.47E-277,0.955700354,0.649,0.104,2.14E-272,7,CTCFL
HIGD1A4,8.34E-277,1.259136628,0.925,0.363,2.39E-272,7,HIGD1A
LPCAT2,8.74E-277,0.735033527,0.511,0.057,2.50E-272,7,LPCAT2
HIF1A,3.38E-275,0.759764942,0.6,0.088,9.66E-271,7,HIF1A
SDF2L16,1.26E-274,1.561176278,0.972,0.484,3.61E-270,7,SDF2L1
PPIG5,1.38E-274,1.403708124,0.97,0.45,3.95E-270,7,PPIG
HMGB26,2.58E-274,1.608279142,0.996,0.555,7.38E-270,7,HMGB2
VCX6,3.14E-273,2.118059406,1,0.616,8.98E-269,7,VCX
C19orf521,1.01E-271,0.999764216,0.755,0.178,2.90E-267,7,C19orf52
EPCAM6,2.99E-271,1.071614199,0.899,0.244,8.56E-267,7,EPCAM
ITSN22,2.16E-269,0.968678561,0.783,0.183,6.19E-265,7,ITSN2
YEATS44,3.49E-269,1.407792258,0.974,0.418,1.00E-264,7,YEATS4
ROMO14,5.34E-269,1.287922168,0.988,0.526,1.53E-264,7,ROMO1
HORMAD14,2.22E-268,1.620633871,0.986,0.597,6.36E-264,7,HORMAD1
FAM9A,4.33E-267,0.709385908,0.497,0.055,1.24E-262,7,FAM9A
NPC24,1.20E-266,1.34997846,0.99,0.589,3.42E-262,7,NPC2
WBSCR225,7.71E-265,1.555447924,0.994,0.575,2.21E-260,7,WBSCR22
VPS295,9.80E-265,1.407877316,0.966,0.553,2.81E-260,7,VPS29
VCX3A6,2.77E-264,1.354589431,0.907,0.298,7.93E-260,7,VCX3A
MAGEA10,3.98E-264,0.693364946,0.491,0.054,1.14E-259,7,MAGEA10
VBP1,6.54E-264,0.979668189,0.751,0.167,1.87E-259,7,VBP1
VCX3B6,1.20E-262,1.886156724,0.98,0.511,3.42E-258,7,VCX3B
PPIA4,2.75E-262,1.439884848,0.994,0.667,7.88E-258,7,PPIA
PDCD76,2.01E-259,1.200804108,0.959,0.363,5.75E-255,7,PDCD7
VAPA6,9.25E-258,1.289253417,0.966,0.432,2.65E-253,7,VAPA
TMX2,4.24E-257,0.86831897,0.748,0.169,1.21E-252,7,TMX2
SNRPB5,7.32E-257,1.326439811,0.982,0.491,2.10E-252,7,SNRPB
NCL6,9.40E-257,1.501350007,0.992,0.494,2.69E-252,7,NCL
ZC3H136,1.59E-256,1.049144829,0.856,0.233,4.55E-252,7,ZC3H13
DAZL3,5.11E-255,1.332131486,0.961,0.542,1.46E-250,7,DAZL
ABCA54,9.17E-255,1.198784268,0.864,0.308,2.63E-250,7,ABCA5
NASP6,1.25E-253,1.483313399,0.984,0.514,3.57E-249,7,NASP
CTSL5,1.90E-252,1.119581322,0.87,0.278,5.44E-248,7,CTSL
CASC55,9.72E-252,1.253565088,0.901,0.343,2.78E-247,7,CASC5
SLBP5,3.39E-251,1.315967421,0.982,0.514,9.70E-247,7,SLBP
RAB411,8.27E-251,0.546911573,0.465,0.049,2.37E-246,7,RAB41
SYCE15,9.11E-249,1.288113496,0.986,0.672,2.61E-244,7,SYCE1
KREMEN2,2.37E-248,0.511936515,0.323,0.018,6.77E-244,7,KREMEN2
SRSF95,5.53E-248,1.390234409,0.996,0.625,1.58E-243,7,SRSF9
TMED26,7.54E-248,1.132508644,0.933,0.36,2.16E-243,7,TMED2
ATAD5,5.15E-246,0.690138663,0.57,0.089,1.47E-241,7,ATAD5
APLP26,3.83E-245,1.182846056,0.923,0.338,1.10E-240,7,APLP2
CENPH6,1.32E-244,1.330170707,0.961,0.44,3.77E-240,7,CENPH
PPIC,3.33E-242,0.671606836,0.544,0.078,9.53E-238,7,PPIC
U2SURP5,4.13E-242,1.198453901,0.953,0.481,1.18E-237,7,U2SURP
DNAJC16,5.31E-242,1.336420073,0.895,0.36,1.52E-237,7,DNAJC1
PAX6,1.94E-241,0.417586049,0.292,0.014,5.55E-237,7,PAX6
DNMT15,2.94E-241,1.03803443,0.923,0.375,8.42E-237,7,DNMT1
C5orf473,1.73E-240,1.49909138,0.966,0.578,4.96E-236,7,C5orf47
HOXC6,1.84E-240,0.438413226,0.264,0.01,5.28E-236,7,HOXC6
TEX303,2.01E-240,1.240724351,0.998,0.824,5.75E-236,7,TEX30
C11orf584,3.81E-238,1.171833285,0.984,0.696,1.09E-233,7,C11orf58
DZIP34,1.50E-236,1.315731398,0.959,0.496,4.30E-232,7,DZIP3
FKBP25,4.62E-236,1.392331295,0.974,0.647,1.32E-231,7,FKBP2
TAF124,1.58E-235,1.339777646,0.951,0.522,4.51E-231,7,TAF12
CFDP13,4.48E-235,1.281396412,0.957,0.618,1.28E-230,7,CFDP1
VRK14,4.84E-235,1.165343912,0.925,0.436,1.39E-230,7,VRK1
BRCA12,1.37E-232,0.964721341,0.753,0.203,3.92E-228,7,BRCA1
MRPS26,1.52E-232,0.772772803,0.641,0.126,4.35E-228,7,MRPS26
LINC01140,2.90E-232,0.392400536,0.353,0.027,8.29E-228,7,LINC01140
VPS352,4.95E-232,1.114273937,0.949,0.569,1.42E-227,7,VPS35
TMEM592,8.11E-232,1.11575088,0.998,0.849,2.32E-227,7,TMEM59
KIF1A,1.05E-231,0.471500415,0.32,0.02,3.00E-227,7,KIF1A
PTGES34,2.11E-231,1.170150794,0.996,0.714,6.04E-227,7,PTGES3
TERF2IP6,3.58E-231,1.099458788,0.929,0.345,1.02E-226,7,TERF2IP
CPT2,9.92E-231,0.683699313,0.613,0.114,2.84E-226,7,CPT2
DENR3,1.65E-228,0.964342682,0.744,0.192,4.73E-224,7,DENR
PRPF314,2.55E-226,1.0133965,0.822,0.287,7.29E-222,7,PRPF31
MYDGF6,5.79E-226,1.154234436,0.925,0.41,1.66E-221,7,MYDGF
IER3IP16,1.60E-225,1.128633802,0.878,0.333,4.59E-221,7,IER3IP1
ATP6AP1,5.56E-225,0.63222087,0.45,0.054,1.59E-220,7,ATP6AP1
LYRM9,6.38E-224,0.753763285,0.72,0.175,1.83E-219,7,LYRM9
SNCA,7.71E-224,0.426858761,0.316,0.021,2.21E-219,7,SNCA
SMC45,1.25E-223,1.192153035,0.978,0.581,3.57E-219,7,SMC4
INCA14,1.57E-223,1.313548242,0.943,0.572,4.51E-219,7,INCA1
TMEM179B5,3.63E-223,1.006229565,0.872,0.323,1.04E-218,7,TMEM179B
UBE2F5,1.23E-222,1.050534925,0.87,0.365,3.53E-218,7,UBE2F
PRDX41,1.89E-222,1.13658356,0.984,0.733,5.41E-218,7,PRDX4
HLTF6,4.67E-222,0.958860792,0.789,0.234,1.34E-217,7,HLTF
CLDN18,5.06E-222,0.319297182,0.256,0.011,1.45E-217,7,CLDN18
CES4A,2.59E-221,0.418726317,0.351,0.028,7.41E-217,7,CES4A
SFR15,5.86E-221,1.434445396,0.878,0.41,1.68E-216,7,SFR1
SSX1,3.94E-220,0.605571672,0.497,0.07,1.13E-215,7,SSX1
MALAT14,6.87E-220,1.400045031,1,0.861,1.97E-215,7,MALAT1
RIF15,6.02E-219,0.921031321,0.793,0.246,1.72E-214,7,RIF1
LRPAP15,6.36E-219,1.236062495,0.966,0.631,1.82E-214,7,LRPAP1
TCL1A,8.02E-219,0.676955579,0.556,0.093,2.30E-214,7,TCL1A
NAE16,1.22E-218,0.984993622,0.933,0.301,3.50E-214,7,NAE1
DSEL,1.19E-217,0.633621663,0.513,0.08,3.40E-213,7,DSEL
MT-ND36,1.44E-217,1.446662526,1,0.792,4.11E-213,7,MT-ND3
PSMA85,2.77E-217,1.131172037,0.836,0.299,7.93E-213,7,PSMA8
CLNS1A2,1.25E-216,1.007679768,0.84,0.336,3.59E-212,7,CLNS1A
CCDC152,1.60E-216,0.888323544,0.688,0.178,4.58E-212,7,CCDC152
COA14,7.05E-216,0.908966801,0.783,0.257,2.02E-211,7,COA1
TMED95,4.42E-215,1.013801593,0.856,0.286,1.26E-210,7,TMED9
HNRNPA2B16,7.37E-215,1.209204252,0.998,0.758,2.11E-210,7,HNRNPA2B1
EIF1B5,8.24E-215,1.241056182,0.986,0.733,2.36E-210,7,EIF1B
TAF114,3.38E-214,0.998570545,0.771,0.247,9.68E-210,7,TAF11
TERF14,3.48E-213,1.001680355,0.87,0.385,9.97E-209,7,TERF1
SCAF114,2.28E-212,1.003407793,0.878,0.402,6.53E-208,7,SCAF11
TMEM2583,2.48E-212,1.108401627,0.992,0.799,7.09E-208,7,TMEM258
HNRNPR4,4.00E-212,1.042235127,0.895,0.375,1.15E-207,7,HNRNPR
EEA11,5.01E-212,1.02325445,0.716,0.215,1.43E-207,7,EEA1
HAUS3,2.17E-211,0.658585457,0.527,0.09,6.20E-207,7,HAUS3
TCTEX1D23,7.42E-211,1.10165753,0.959,0.693,2.12E-206,7,TCTEX1D2
ARIH24,8.44E-211,0.987182007,0.89,0.419,2.42E-206,7,ARIH2
NPM15,1.39E-210,1.034513114,0.99,0.798,3.99E-206,7,NPM1
RNF344,1.21E-209,1.141209361,0.856,0.4,3.46E-205,7,RNF34
JADE3,1.24E-208,0.511290156,0.387,0.041,3.55E-204,7,JADE3
TGS1,1.25E-208,0.774894727,0.698,0.177,3.58E-204,7,TGS1
SSB6,2.00E-208,1.022630605,0.874,0.335,5.73E-204,7,SSB
KIF5B4,6.92E-208,1.048877908,0.996,0.734,1.98E-203,7,KIF5B
HSP90B14,8.36E-208,1.419370603,0.97,0.594,2.39E-203,7,HSP90B1
PCBP25,1.43E-207,1.125604514,0.982,0.725,4.11E-203,7,PCBP2
THRAP36,1.82E-207,0.975889448,0.895,0.369,5.20E-203,7,THRAP3
DDX245,3.54E-207,1.095766789,0.996,0.749,1.01E-202,7,DDX24
C19orf60,6.18E-207,0.823862383,0.611,0.124,1.77E-202,7,C19orf60
MRFAP14,2.61E-206,1.080892778,0.978,0.602,7.48E-202,7,MRFAP1
HSPA145,1.38E-205,1.029767084,0.931,0.518,3.94E-201,7,HSPA14
HNRNPK4,1.63E-205,1.033607257,0.98,0.666,4.66E-201,7,HNRNPK
ATP6V0B6,1.99E-205,0.867554826,0.878,0.294,5.71E-201,7,ATP6V0B
MTF26,4.65E-205,0.949150219,0.858,0.342,1.33E-200,7,MTF2
SUB15,4.69E-205,1.032021177,0.996,0.774,1.34E-200,7,SUB1
CALR6,5.72E-205,1.177533296,0.963,0.552,1.64E-200,7,CALR
TMEM1476,7.90E-205,1.170843768,0.947,0.668,2.26E-200,7,TMEM147
RHNO1,8.91E-205,0.833534264,0.714,0.217,2.55E-200,7,RHNO1
NAA155,1.77E-204,0.96175135,0.791,0.287,5.07E-200,7,NAA15
TRMT66,2.65E-204,0.823428824,0.771,0.218,7.59E-200,7,TRMT6
SNRPD15,5.01E-204,1.035294306,0.961,0.533,1.43E-199,7,SNRPD1
FLYWCH24,7.86E-204,1.002673761,0.846,0.361,2.25E-199,7,FLYWCH2
MT-CO36,1.26E-203,1.373108001,1,0.953,3.59E-199,7,MT-CO3
TTC34,1.51E-203,1.065233243,0.972,0.734,4.31E-199,7,TTC3
CYP20A14,3.86E-203,0.976660119,0.791,0.287,1.11E-198,7,CYP20A1
SRRM26,4.41E-203,1.099871873,0.972,0.623,1.26E-198,7,SRRM2
SMCHD12,2.19E-202,1.060201531,0.878,0.44,6.27E-198,7,SMCHD1
ATP6V0E14,8.70E-202,0.978099898,0.876,0.402,2.49E-197,7,ATP6V0E1
CIRBP5,8.87E-202,1.179250681,0.99,0.53,2.54E-197,7,CIRBP
MAGEA111,1.85E-201,0.53690547,0.467,0.066,5.30E-197,7,MAGEA11
BRCA24,6.26E-201,0.901264163,0.74,0.232,1.79E-196,7,BRCA2
RBM175,7.50E-201,1.097657418,0.98,0.653,2.15E-196,7,RBM17
HMCES5,3.17E-200,0.976928856,0.848,0.372,9.06E-196,7,HMCES
PDIA36,5.72E-200,1.088498426,0.943,0.48,1.64E-195,7,PDIA3
HNRNPH35,1.84E-199,1.134887819,0.953,0.622,5.25E-195,7,HNRNPH3
APMAP5,2.51E-199,1.004893026,0.824,0.324,7.17E-195,7,APMAP
ITM2B6,3.35E-199,0.895157586,0.935,0.341,9.58E-195,7,ITM2B
KRIT13,3.70E-199,0.966514034,0.862,0.396,1.06E-194,7,KRIT1
CNBP5,4.35E-199,1.043701044,0.978,0.662,1.24E-194,7,CNBP
M6PR4,1.39E-198,0.986161591,0.785,0.3,3.99E-194,7,M6PR
SYCE24,2.19E-198,1.206206706,0.88,0.44,6.26E-194,7,SYCE2
DCK,1.02E-197,0.590018203,0.481,0.076,2.93E-193,7,DCK
STRIP2,5.01E-197,0.681305845,0.525,0.098,1.43E-192,7,STRIP2
HIST3H3,4.64E-196,0.765932175,0.327,0.029,1.33E-191,7,HIST3H3
ARPC56,4.77E-196,1.168561244,0.886,0.441,1.37E-191,7,ARPC5
DNAJB113,5.35E-196,1.112781594,0.909,0.529,1.53E-191,7,DNAJB11
PTMA4,8.41E-196,1.339325218,1,0.782,2.41E-191,7,PTMA
SGCE,3.81E-195,0.293589952,0.254,0.014,1.09E-190,7,SGCE
ERP443,4.05E-195,0.867013525,0.757,0.266,1.16E-190,7,ERP44
OTUD6A,1.28E-194,0.426995457,0.318,0.027,3.67E-190,7,OTUD6A
C14orf39,1.56E-194,0.767590203,0.578,0.126,4.46E-190,7,C14orf39
THAP74,2.72E-194,1.08894603,0.907,0.531,7.79E-190,7,THAP7
MEIOC3,3.86E-194,1.078655129,0.937,0.591,1.11E-189,7,MEIOC
TOPAZ11,1.90E-193,0.848214298,0.667,0.18,5.42E-189,7,TOPAZ1
C1D2,1.21E-192,1.140532519,0.866,0.484,3.46E-188,7,C1D
EIF5B5,6.21E-192,1.101022842,0.996,0.724,1.78E-187,7,EIF5B
FBXO5,1.38E-191,0.544650269,0.396,0.048,3.95E-187,7,FBXO5
HNRNPC3,1.46E-191,0.98413564,0.982,0.732,4.18E-187,7,HNRNPC
PPA16,7.97E-191,0.994267112,0.945,0.473,2.28E-186,7,PPA1
SRSF23,1.22E-190,0.972001063,0.972,0.706,3.50E-186,7,SRSF2
POLR2K6,2.16E-190,0.948502395,0.884,0.357,6.17E-186,7,POLR2K
TSPYL2,1.28E-189,0.886177781,0.665,0.17,3.67E-185,7,TSPYL2
GPBP13,5.48E-189,0.919649107,0.984,0.77,1.57E-184,7,GPBP1
KLHL22,1.22E-188,0.426113426,0.345,0.034,3.49E-184,7,KLHL22
TMED105,1.81E-188,1.039867517,0.947,0.492,5.17E-184,7,TMED10
HESX1,4.39E-188,0.429939829,0.377,0.044,1.26E-183,7,HESX1
PSPC14,1.89E-187,0.957528497,0.856,0.414,5.40E-183,7,PSPC1
TAOK3,6.89E-187,0.944015103,0.602,0.146,1.97E-182,7,TAOK3
KIF20B4,1.98E-186,0.898203158,0.874,0.394,5.66E-182,7,KIF20B
TMEM50B3,2.85E-186,0.946515883,0.903,0.527,8.17E-182,7,TMEM50B
H1F0,2.44E-185,0.698629679,0.519,0.097,6.99E-181,7,H1F0
U82695.5,4.64E-185,0.448402262,0.333,0.032,1.33E-180,7,U82695.5
ACTR35,8.67E-185,0.968070665,0.947,0.695,2.48E-180,7,ACTR3
GALNT11,1.83E-184,0.57795482,0.513,0.096,5.25E-180,7,GALNT11
CDK124,2.73E-184,0.8701811,0.803,0.325,7.82E-180,7,CDK12
MT-ATP66,4.32E-184,1.251857154,1,0.849,1.24E-179,7,MT-ATP6
MAP1LC3B4,5.64E-184,0.906902863,0.98,0.851,1.61E-179,7,MAP1LC3B
SRSF35,3.45E-183,0.933561031,0.988,0.851,9.89E-179,7,SRSF3
NFAT5,4.16E-183,0.671746424,0.611,0.154,1.19E-178,7,NFAT5
MCM3AP-AS1,4.26E-183,0.684035104,0.529,0.108,1.22E-178,7,MCM3AP-AS1
SDHC5,5.44E-183,0.959359888,0.856,0.416,1.56E-178,7,SDHC
YTHDF26,8.16E-183,0.987917301,0.874,0.417,2.34E-178,7,YTHDF2
ERGIC34,1.33E-182,0.880939307,0.992,0.871,3.81E-178,7,ERGIC3
AAMP4,1.72E-182,0.780885908,0.793,0.295,4.93E-178,7,AAMP
ZCCHC174,1.96E-182,1.255791339,0.905,0.587,5.61E-178,7,ZCCHC17
CCNB3,3.01E-182,0.398684168,0.3,0.026,8.62E-178,7,CCNB3
DDX466,1.34E-181,1.054584321,0.949,0.59,3.83E-177,7,DDX46
DSTN4,2.14E-181,1.149139197,0.974,0.748,6.12E-177,7,DSTN
RCN24,2.19E-181,1.065405826,0.968,0.551,6.26E-177,7,RCN2
XRCC65,4.73E-181,0.981416099,0.982,0.751,1.35E-176,7,XRCC6
TRIM443,7.94E-181,0.849545296,0.763,0.282,2.27E-176,7,TRIM44
CCNDBP13,3.13E-180,0.945409022,0.828,0.397,8.96E-176,7,CCNDBP1
COX7B6,1.72E-179,0.809382099,0.704,0.212,4.93E-175,7,COX7B
GOLGA75,1.05E-178,0.946100413,0.897,0.483,3.00E-174,7,GOLGA7
SIVA14,1.16E-178,0.912618054,0.99,0.723,3.33E-174,7,SIVA1
RBM61,2.38E-178,0.91997746,0.801,0.363,6.80E-174,7,RBM6
MAGEC26,3.51E-178,0.839747733,0.724,0.204,1.00E-173,7,MAGEC2
TMEM41B,4.88E-178,0.678648445,0.653,0.18,1.40E-173,7,TMEM41B
CNIH45,7.54E-178,0.929482313,0.803,0.337,2.16E-173,7,CNIH4
POLR2F4,7.82E-178,1.034240331,0.955,0.654,2.24E-173,7,POLR2F
HNRNPA34,1.33E-177,1.017244294,0.97,0.681,3.81E-173,7,HNRNPA3
OCIAD14,3.14E-177,0.978979348,0.88,0.506,8.99E-173,7,OCIAD1
CALM25,8.98E-177,0.981440224,0.998,0.888,2.57E-172,7,CALM2
HSP90AA16,4.21E-176,1.019354253,1,0.87,1.20E-171,7,HSP90AA1
DSN14,6.79E-176,0.898320373,0.811,0.352,1.94E-171,7,DSN1
LMAN24,1.62E-175,0.931255359,0.959,0.714,4.65E-171,7,LMAN2
TSPAN35,3.47E-175,0.950244906,0.85,0.459,9.94E-171,7,TSPAN3
ESF15,3.99E-175,0.946597124,0.925,0.59,1.14E-170,7,ESF1
MT-CYB6,5.03E-175,1.220831625,1,0.768,1.44E-170,7,MT-CYB
PITHD15,5.88E-175,0.957354384,0.901,0.467,1.68E-170,7,PITHD1
SRP144,7.19E-175,0.761934877,1,0.897,2.06E-170,7,SRP14
HNRNPA04,8.80E-175,0.917654204,0.84,0.375,2.52E-170,7,HNRNPA0
RPN25,1.73E-174,1.001705041,0.968,0.615,4.95E-170,7,RPN2
RPA4,1.89E-174,0.2801604,0.256,0.018,5.40E-170,7,RPA4
ARID4B2,1.98E-174,0.859968033,0.97,0.729,5.67E-170,7,ARID4B
ARGLU14,2.03E-174,0.986155579,0.882,0.518,5.81E-170,7,ARGLU1
TNKS2-AS1,2.72E-174,0.534420783,0.483,0.09,7.80E-170,7,TNKS2-AS1
MT-ND46,4.72E-174,1.219177282,1,0.888,1.35E-169,7,MT-ND4
HERC55,5.34E-174,1.178059114,0.903,0.452,1.53E-169,7,HERC5
BPTF6,1.09E-173,0.885467784,0.819,0.356,3.12E-169,7,BPTF
CCP1103,1.88E-173,0.787077903,0.682,0.198,5.39E-169,7,CCP110
RBM395,4.94E-173,0.938284616,0.929,0.587,1.41E-168,7,RBM39
SNRPG5,7.28E-173,0.928802573,0.98,0.673,2.08E-168,7,SNRPG
SYCP25,4.05E-172,1.089951627,0.947,0.555,1.16E-167,7,SYCP2
WNK13,4.64E-172,0.948841368,0.799,0.368,1.33E-167,7,WNK1
TPTE4,6.45E-172,1.231047424,0.822,0.374,1.85E-167,7,TPTE
HSPE16,6.94E-172,0.85968131,0.921,0.393,1.99E-167,7,HSPE1
ERP296,1.06E-171,0.858800237,0.836,0.276,3.05E-167,7,ERP29
CCDC931,1.11E-171,0.643599153,0.596,0.152,3.17E-167,7,CCDC93
KLC16,1.74E-171,0.741733308,0.775,0.261,4.97E-167,7,KLC1
SEC11A4,1.98E-171,0.922771149,0.927,0.628,5.66E-167,7,SEC11A
GOLGB13,2.24E-171,0.986740265,0.763,0.31,6.41E-167,7,GOLGB1
C12orf653,2.95E-171,0.930340114,0.755,0.292,8.45E-167,7,C12orf65
TAF154,4.33E-171,0.849520109,0.748,0.283,1.24E-166,7,TAF15
AP1S2,1.15E-170,0.52360458,0.444,0.071,3.29E-166,7,AP1S2
TM2D15,1.28E-170,0.794749494,0.836,0.328,3.67E-166,7,TM2D1
CHCHD25,7.38E-170,0.856933499,0.998,0.83,2.11E-165,7,CHCHD2
XKR9,1.54E-169,0.627002347,0.523,0.114,4.42E-165,7,XKR9
SDHD,2.09E-169,0.741554334,0.653,0.198,5.99E-165,7,SDHD
SUZ126,3.00E-169,0.852551372,0.815,0.353,8.59E-165,7,SUZ12
PNISR5,8.05E-169,0.962902693,0.911,0.493,2.31E-164,7,PNISR
FABP54,1.07E-168,0.938566617,0.903,0.564,3.06E-164,7,FABP5
PAGE2B6,1.75E-168,0.911518225,0.959,0.447,5.01E-164,7,PAGE2B
LSM66,7.39E-168,0.766809915,0.84,0.286,2.12E-163,7,LSM6
SAMD4B,7.95E-168,0.650416641,0.6,0.155,2.28E-163,7,SAMD4B
RPA23,1.62E-167,0.98577503,0.915,0.621,4.64E-163,7,RPA2
STXBP1,5.06E-167,0.43059762,0.396,0.057,1.45E-162,7,STXBP1
ARL13,5.48E-167,0.915816044,0.83,0.428,1.57E-162,7,ARL1
RAB7A4,5.75E-167,0.915829415,0.84,0.421,1.65E-162,7,RAB7A
CCT35,1.56E-166,0.885574688,0.98,0.763,4.47E-162,7,CCT3
MT-CO26,2.75E-166,1.200399881,1,0.924,7.88E-162,7,MT-CO2
MT-ND56,7.11E-166,0.99630921,0.996,0.615,2.04E-161,7,MT-ND5
TACC11,7.35E-166,0.714034429,0.657,0.185,2.10E-161,7,TACC1
STAG1,1.13E-165,0.553763456,0.538,0.117,3.23E-161,7,STAG1
S100PBP4,2.09E-165,0.817230902,0.748,0.306,5.98E-161,7,S100PBP
SERPINH1,7.52E-165,0.526384438,0.412,0.063,2.15E-160,7,SERPINH1
ANP32B3,2.18E-164,0.946931963,0.945,0.569,6.23E-160,7,ANP32B
ZSWIM74,2.60E-164,0.829816034,0.807,0.372,7.45E-160,7,ZSWIM7
MT-ND16,4.06E-164,1.082872856,1,0.877,1.16E-159,7,MT-ND1
SFPQ3,1.24E-163,0.889902474,0.947,0.737,3.54E-159,7,SFPQ
TPR4,3.53E-163,0.936431985,0.986,0.714,1.01E-158,7,TPR
STAG33,1.25E-161,0.863963129,0.799,0.404,3.57E-157,7,STAG3
ASF1B2,1.79E-161,0.906427668,0.748,0.296,5.12E-157,7,ASF1B
VAMP7,4.52E-161,0.630352719,0.535,0.126,1.29E-156,7,VAMP7
PHF146,5.53E-161,0.88708379,0.862,0.435,1.58E-156,7,PHF14
COX174,6.26E-161,0.817350234,0.943,0.642,1.79E-156,7,COX17
MRPL182,6.35E-161,0.899121806,0.953,0.706,1.82E-156,7,MRPL18
UBE2B4,1.55E-160,0.838243425,0.953,0.729,4.43E-156,7,UBE2B
HOTAIR,4.08E-160,0.596608721,0.274,0.025,1.17E-155,7,HOTAIR
MT-CO15,4.35E-160,1.130644969,1,0.921,1.25E-155,7,MT-CO1
TSEN15,6.45E-160,0.560453684,0.586,0.147,1.85E-155,7,TSEN15
DDX424,9.94E-160,0.734036573,0.714,0.257,2.85E-155,7,DDX42
HP1BP32,1.94E-159,0.840343658,0.834,0.444,5.55E-155,7,HP1BP3
WDR6,6.18E-159,0.47291291,0.42,0.069,1.77E-154,7,WDR6
FASTK1,2.15E-158,0.646842623,0.655,0.187,6.15E-154,7,FASTK
HDAC6,1.25E-157,0.761742594,0.663,0.234,3.57E-153,7,HDAC6
GLCE,1.30E-157,0.591931264,0.479,0.097,3.73E-153,7,GLCE
NKTR5,1.64E-157,0.879040295,0.87,0.456,4.70E-153,7,NKTR
NOL8,1.01E-156,0.646573328,0.542,0.132,2.90E-152,7,NOL8
JMJD1C5,1.32E-156,0.872491258,0.895,0.514,3.78E-152,7,JMJD1C
AAMDC4,2.14E-156,0.871236876,0.903,0.621,6.14E-152,7,AAMDC
TBCA4,2.53E-156,0.913364031,0.884,0.532,7.25E-152,7,TBCA
PARP121,4.20E-156,0.489854022,0.473,0.095,1.20E-151,7,PARP12
HSPD16,7.75E-156,0.690866519,0.769,0.24,2.22E-151,7,HSPD1
ORMDL14,1.03E-155,0.813521684,0.919,0.599,2.96E-151,7,ORMDL1
HUS1B,3.96E-155,0.355569313,0.286,0.029,1.13E-150,7,HUS1B
BUB1B,4.06E-155,0.609005821,0.523,0.126,1.16E-150,7,BUB1B
PSMD5-AS11,1.06E-154,0.709108515,0.635,0.195,3.04E-150,7,PSMD5-AS1
PNMA5,1.07E-154,0.635707756,0.465,0.086,3.06E-150,7,PNMA5
IFT812,1.46E-154,0.900871309,0.828,0.479,4.18E-150,7,IFT81
LINC010241,2.88E-154,0.868220004,0.677,0.259,8.25E-150,7,LINC01024
ASZ12,2.96E-154,0.715221344,0.635,0.192,8.48E-150,7,ASZ1
NFATC2IP4,4.49E-154,0.798332267,0.722,0.284,1.28E-149,7,NFATC2IP
PHIP3,4.58E-154,0.798764454,0.738,0.305,1.31E-149,7,PHIP
UPF23,7.12E-154,0.861832011,0.85,0.502,2.04E-149,7,UPF2
ACTR104,7.38E-154,0.74411859,0.819,0.38,2.11E-149,7,ACTR10
RBM8A5,1.18E-153,0.855033211,0.939,0.674,3.39E-149,7,RBM8A
GOLGA21,1.43E-153,0.829850763,0.665,0.236,4.08E-149,7,GOLGA2
HLA-B4,1.88E-153,1.445163453,0.86,0.529,5.37E-149,7,HLA-B
SPINT24,2.15E-153,0.977060913,0.974,0.72,6.15E-149,7,SPINT2
NKAP1,2.18E-153,0.669557019,0.641,0.186,6.24E-149,7,NKAP
SRR,9.73E-153,0.510358945,0.43,0.08,2.79E-148,7,SRR
CHRAC13,1.65E-152,0.692591681,0.671,0.222,4.74E-148,7,CHRAC1
SYNGR44,2.16E-152,0.916155287,0.765,0.347,6.20E-148,7,SYNGR4
CENPV6,6.10E-152,0.724449736,0.801,0.297,1.75E-147,7,CENPV
TUSC3,7.91E-152,0.69346978,0.639,0.212,2.26E-147,7,TUSC3
LAMTOR15,2.04E-151,0.720042795,0.753,0.286,5.83E-147,7,LAMTOR1
GPATCH82,3.15E-151,0.807517591,0.728,0.307,9.02E-147,7,GPATCH8
RTBDN,4.87E-151,0.382371639,0.318,0.038,1.39E-146,7,RTBDN
CES2,7.29E-151,0.569560597,0.467,0.099,2.09E-146,7,CES2
HMGB15,2.71E-150,1.325063078,0.961,0.746,7.76E-146,7,HMGB1
TMEM804,3.17E-150,0.835478428,0.793,0.385,9.08E-146,7,TMEM80
IQSEC3,5.12E-150,0.453528262,0.266,0.025,1.47E-145,7,IQSEC3
CNTRL5,2.46E-149,0.855708866,0.949,0.605,7.04E-145,7,CNTRL
SON4,2.49E-149,0.922355815,0.943,0.695,7.12E-145,7,SON
EIF4G22,2.85E-149,0.779999101,0.937,0.732,8.15E-145,7,EIF4G2
SH3KBP1,9.16E-149,0.411685996,0.343,0.046,2.62E-144,7,SH3KBP1
WDR83OS5,2.86E-148,0.681079703,0.736,0.27,8.19E-144,7,WDR83OS
TMEM522,9.43E-148,0.613714695,0.584,0.16,2.70E-143,7,TMEM52
RDH11,1.00E-146,0.428511332,0.422,0.076,2.87E-142,7,RDH11
